STATION_ID USER_ID EVENT_TIME EVENT_TYPE
010 69253198 04:03  IN
002 67143113 04:03  IN
010 08707722 04:04  IN
001 17500974 04:05  IN
001 09337052 04:06  IN
006 25538674 04:06  IN
010 68409606 04:09  IN
001 33669926 04:09  IN
006 08995068 04:11  IN
001 44240231 04:11  IN
011 42433478 04:12  IN
020 01033662 04:16  IN
002 89438937 04:17  IN
012 27293879 04:17  IN
014 37036268 04:18  IN
012 42433478 04:19 OUT
010 06880610 04:19  IN
011 45173923 04:24  IN
011 53580105 04:25  IN
013 59852366 04:25  IN
018 08707722 04:25 OUT
011 67180816 04:26  IN
006 33669926 04:26 OUT
018 01033662 04:28 OUT
014 67180816 04:29 OUT
019 68409606 04:31 OUT
020 10166939 04:32  IN
015 45173923 04:32 OUT
011 85299815 04:32  IN
010 80055865 04:34  IN
007 27027042 04:35  IN
019 06880610 04:35 OUT
004 62734650 04:36  IN
010 76550001 04:36  IN
007 39679931 04:36  IN
020 78555898 04:36  IN
011 38724543 04:36  IN
019 09111346 04:43  IN
010 17500974 04:45 OUT
012 64761762 04:46  IN
002 69253198 04:46 OUT
019 59852366 04:46 OUT
001 44172205 04:47  IN
018 53580105 04:47 OUT
006 49809429 04:47  IN
012 85409994 04:48  IN
005 86674989 04:48  IN
007 20549417 04:48  IN
011 76350463 04:49  IN
012 76550001 04:49 OUT
015 25538674 04:49 OUT
005 24070703 04:49  IN
011 42345291 04:50  IN
014 44240231 04:51 OUT
004 60499064 04:52  IN
011 31852424 04:52  IN
002 27293879 04:53 OUT
018 67143113 04:53 OUT
004 84192914 04:53  IN
016 38724543 04:54 OUT
015 09337052 04:54 OUT
015 08995068 04:55 OUT
007 80055865 04:56 OUT
011 10166939 04:56 OUT
005 09235234 04:56  IN
020 62095864 04:58  IN
019 85893881 04:59  IN
010 72272453 04:59  IN
015 89438937 05:02 OUT
021 31807407 05:03  IN
019 27027042 05:03 OUT
005 60499064 05:03 OUT
005 85299815 05:04 OUT
001 16646044 05:05  IN
011 12018702 05:05  IN
015 42345291 05:05 OUT
015 76350463 05:06 OUT
001 55177853 05:06  IN
001 37036268 05:06 OUT
014 24284960 05:07  IN
010 20549417 05:07 OUT
014 73495753 05:07  IN
001 12085957 05:07  IN
017 48760377 05:08  IN
008 81453976 05:08  IN
018 73842683 05:08  IN
015 39679931 05:08 OUT
011 58406933 05:09  IN
002 11228396 05:10  IN
001 10570943 05:11  IN
018 48760377 05:11 OUT
